"Timestamp","How did you find out about Poker Bet Tracker?","How many people were in your game?","What did you use the app for? (select all that apply)","How many hands did you track during your session?","How would you describe the experience of setting up a game?","How would you describe the experience of tracking bets during a hand?","What, if anything, was confusing or unclear?","What, if anything, was missing from the app?","How likely are you to use this app in your next game?","Is there anything else you'd like to share?"
"2026/04/19 5:41:24 PM GMT+12","I built or helped build it","2","Tracking each player's stack;Tracking bets placed during a hand;Tracking the pot total;Awarding the pot to the winner at the end of a hand","About 10","3","4","Initially didn't realise that when inputting bets, it's additive, not the overall wager.  For example, if an initial player has bet $2, and then another player raises to $4, then the initial player should input $2 to call the $4, and not input $4.  Because $2 + another $2 = $4.","- hard to remember who was the dealer, small blind and big blind
- was annoying to have to input the blinds each time for each player, i wish these got paid automatically
- can't split pot when both players have the same winning hand
- no shortcut to go all in
- was especially annoying to have to manually input a call, when this should be an easy quick one touch action","3","It got the job done.  But we still really struggled with remembering who was dealer / small blind / big blind."
"2026/04/19 10:26:46 PM GMT+12","A friend or someone at my game shared it","2","Tracking each player's stack;Tracking bets placed during a hand;Tracking the pot total;Awarding the pot to the winner at the end of a hand","Idk 😭 I wasn’t the one tracking","5","4","I think having to track who was the dealer / big bind manually and also having to manually make the call was a bit of a pain point","The ability to automate calls, all in, tracking big bind / small bind & splitting the pot","1",""
